,ticker,name,market_cap,sector,industry
74,PSH.L,"Pershing Square Holdings, Ltd.",768025892380,Financial Services,Asset Management
75,WMT,Walmart Inc.,761244036400,Consumer Defensive,Discount Stores
76,JPM,JPMorgan Chase & Co.,745614645600,Financial Services,Banks - Diversified
77,LLY,Eli Lilly and Company,745602279560,Healthcare,Drug Manufacturers - General
78,WMT.DE,Walmart Inc.,723406769500,Consumer Defensive,Discount Stores
79,CMC.DE,JPMorgan Chase & Co.,709465680000,Financial Services,Banks - Diversified
80,LLY.DE,Eli Lilly and Company,709044120400,Healthcare,Drug Manufacturers - General
81,MA.NE,Mastercard Incorporated,704639031517,Financial Services,Financial - Credit Services
82,XOM.NE,Exxon Mobil Corporation,682456449007,Energy,Oil & Gas Integrated
83,LLY.SW,Eli Lilly and Company,650281460000,Healthcare,Drug Manufacturers - General
84,V,Visa Inc.,647533405997,Financial Services,Financial - Credit Services
85,BULP.L,WisdomTree Gold,642224737393,Financial Services,Asset Management
86,VTI,Vanguard Total Stock Market Index Fund,624811835096,Financial Services,Asset Management
87,FXAIX,Fidelity 500 Index Fund,619447582681,Financial Services,Asset Management
88,3V64.DE,Visa Inc.,618043923071,Financial Services,Financial - Credit Services
89,FEUD.L,First Trust Eurozone AlphaDEX UCITS ETF,611128300088,Financial Services,Asset Management
90,NFLX.NE,"Netflix, Inc.",605823006931,Communication Services,Entertainment
91,IVV,iShares Core S&P 500 ETF,604925708659,Financial Services,Asset Management
92,COST.NE,Costco Wholesale Corporation,602124407144,Consumer Defensive,Discount Stores
93,HD.NE,"The Home Depot, Inc.",593930054014,Consumer Cyclical,Home Improvement
94,SPY,SPDR S&P 500 ETF Trust,557983923756,Financial Services,Asset Management
95,XSEN.L,Xtrackers MSCI USA Energy UCITS ETF,557832785890,Financial Services,Asset Management
96,ORCL,Oracle Corporation,513521856000,Technology,Software - Infrastructure
97,FASA.L,Invesco Markets II plc - Invesco FTSE All Share ESG Climate UCITS ETF,509050509870,Financial Services,Asset Management
98,BOFA.NE,Bank of America Corporation,508084469230,Financial Services,Banks - Diversified
99,ORC.DE,Oracle Corporation,491034297600,Technology,Software - Infrastructure
100,UNH,UnitedHealth Group Incorporated,490060432840,Healthcare,Medical - Healthcare Plans
101,MA,Mastercard Incorporated,485885620320,Financial Services,Financial - Credit Services
102,XOM,Exxon Mobil Corporation,477570479400,Energy,Oil & Gas Integrated
103,PQVG.L,Invesco S&P 500 QVM UCITS ETF,474950696145,Financial Services,Asset Management
104,SBUY.L,Invesco Global Buyback Achievers UCITS ETF,470233938412,Financial Services,Asset Management - Global
105,UNH.DE,UnitedHealth Group Incorporated,464651391600,Healthcare,Medical - Healthcare Plans
106,M4I.DE,Mastercard Incorporated,463671988800,Financial Services,Financial - Credit Services
107,CRM.NE,"Salesforce, Inc.",462279373710,Technology,Software - Application
108,XONA.DE,Exxon Mobil Corporation,456298243800,Energy,Oil & Gas Integrated
109,VXUS,Vanguard Total Intl Stock Idx Fund,432569404309,Financial Services,Asset Management
110,VTIAX,Vanguard Total International Stock Index Fd Admiral,431861202917,,
111,NFLX,"Netflix, Inc.",417878666220,Communication Services,Entertainment
112,COST,Costco Wholesale Corporation,417123012320,Consumer Defensive,Discount Stores
113,0I47.L,Costco Wholesale Corporation,414737055195,Consumer Defensive,Discount Stores
114,HD,"The Home Depot, Inc.",411748963500,Consumer Cyclical,Home Improvement
